Second,HeartRate,Level,LapDistance,Age,Duration(seconds),Laps,Distance(meters)
70,134,4,200.0,25,904,5,1002.1680415338938
71,141,4,200.0,25,904,5,1002.1680415338938
72,130,4,200.0,25,904,5,1002.1680415338938
73,131,4,200.0,25,904,5,1002.1680415338938
74,147,4,200.0,25,904,5,1002.1680415338938
75,130,4,200.0,25,904,5,1002.1680415338938
76,145,4,200.0,25,904,5,1002.1680415338938
77,133,4,200.0,25,904,5,1002.1680415338938
78,146,4,200.0,25,904,5,1002.1680415338938
79,147,4,200.0,25,904,5,1002.1680415338938
80,134,4,200.0,25,904,5,1002.1680415338938
81,137,4,200.0,25,904,5,1002.1680415338938
82,144,4,200.0,25,904,5,1002.1680415338938
83,130,4,200.0,25,904,5,1002.1680415338938
84,132,4,200.0,25,904,5,1002.1680415338938
85,150,4,200.0,25,904,5,1002.1680415338938
86,132,4,200.0,25,904,5,1002.1680415338938
87,141,4,200.0,25,904,5,1002.1680415338938
88,148,4,200.0,25,904,5,1002.1680415338938
89,142,4,200.0,25,904,5,1002.1680415338938
90,143,4,200.0,25,904,5,1002.1680415338938
91,137,4,200.0,25,904,5,1002.1680415338938
92,136,4,200.0,25,904,5,1002.1680415338938
93,145,4,200.0,25,904,5,1002.1680415338938
94,158,4,200.0,25,904,5,1002.1680415338938
95,150,4,200.0,25,904,5,1002.1680415338938
96,161,4,200.0,25,904,5,1002.1680415338938
97,169,4,200.0,25,904,5,1002.1680415338938
98,159,4,200.0,25,904,5,1002.1680415338938
99,155,4,200.0,25,904,5,1002.1680415338938
100,161,4,200.0,25,904,5,1002.1680415338938
101,155,4,200.0,25,904,5,1002.1680415338938
102,162,4,200.0,25,904,5,1002.1680415338938
103,151,4,200.0,25,904,5,1002.1680415338938
104,151,4,200.0,25,904,5,1002.1680415338938
105,158,4,200.0,25,904,5,1002.1680415338938
106,151,4,200.0,25,904,5,1002.1680415338938
107,168,4,200.0,25,904,5,1002.1680415338938
108,164,4,200.0,25,904,5,1002.1680415338938
109,161,4,200.0,25,904,5,1002.1680415338938
110,159,4,200.0,25,904,5,1002.1680415338938
111,160,4,200.0,25,904,5,1002.1680415338938
112,157,4,200.0,25,904,5,1002.1680415338938
113,166,4,200.0,25,904,5,1002.1680415338938
114,170,4,200.0,25,904,5,1002.1680415338938
115,164,4,200.0,25,904,5,1002.1680415338938
116,157,4,200.0,25,904,5,1002.1680415338938
117,154,4,200.0,25,904,5,1002.1680415338938
118,167,4,200.0,25,904,5,1002.1680415338938
119,154,4,200.0,25,904,5,1002.1680415338938
120,153,4,200.0,25,904,5,1002.1680415338938
121,155,4,200.0,25,904,5,1002.1680415338938
122,166,4,200.0,25,904,5,1002.1680415338938
123,154,4,200.0,25,904,5,1002.1680415338938
124,163,4,200.0,25,904,5,1002.1680415338938
125,157,4,200.0,25,904,5,1002.1680415338938
126,160,4,200.0,25,904,5,1002.1680415338938
127,153,4,200.0,25,904,5,1002.1680415338938
128,166,4,200.0,25,904,5,1002.1680415338938
129,160,4,200.0,25,904,5,1002.1680415338938
130,157,4,200.0,25,904,5,1002.1680415338938
131,163,4,200.0,25,904,5,1002.1680415338938
132,159,4,200.0,25,904,5,1002.1680415338938
133,163,4,200.0,25,904,5,1002.1680415338938
134,168,4,200.0,25,904,5,1002.1680415338938
135,156,4,200.0,25,904,5,1002.1680415338938
136,166,4,200.0,25,904,5,1002.1680415338938
137,156,4,200.0,25,904,5,1002.1680415338938
138,162,4,200.0,25,904,5,1002.1680415338938
139,169,4,200.0,25,904,5,1002.1680415338938
140,156,4,200.0,25,904,5,1002.1680415338938
141,162,4,200.0,25,904,5,1002.1680415338938
142,162,4,200.0,25,904,5,1002.1680415338938
143,167,4,200.0,25,904,5,1002.1680415338938
144,157,4,200.0,25,904,5,1002.1680415338938
145,168,4,200.0,25,904,5,1002.1680415338938
146,160,4,200.0,25,904,5,1002.1680415338938
147,164,4,200.0,25,904,5,1002.1680415338938
148,152,4,200.0,25,904,5,1002.1680415338938
149,162,4,200.0,25,904,5,1002.1680415338938
150,155,4,200.0,25,904,5,1002.1680415338938
151,161,4,200.0,25,904,5,1002.1680415338938
152,162,4,200.0,25,904,5,1002.1680415338938
153,155,4,200.0,25,904,5,1002.1680415338938
154,157,4,200.0,25,904,5,1002.1680415338938
155,153,4,200.0,25,904,5,1002.1680415338938
156,166,4,200.0,25,904,5,1002.1680415338938
157,152,4,200.0,25,904,5,1002.1680415338938
158,150,4,200.0,25,904,5,1002.1680415338938
159,157,4,200.0,25,904,5,1002.1680415338938
160,166,4,200.0,25,904,5,1002.1680415338938
161,157,4,200.0,25,904,5,1002.1680415338938
162,154,4,200.0,25,904,5,1002.1680415338938
163,151,4,200.0,25,904,5,1002.1680415338938
164,150,4,200.0,25,904,5,1002.1680415338938
165,152,4,200.0,25,904,5,1002.1680415338938
166,158,4,200.0,25,904,5,1002.1680415338938
167,163,4,200.0,25,904,5,1002.1680415338938
168,169,4,200.0,25,904,5,1002.1680415338938
169,158,4,200.0,25,904,5,1002.1680415338938
170,161,4,200.0,25,904,5,1002.1680415338938
171,169,4,200.0,25,904,5,1002.1680415338938
172,170,4,200.0,25,904,5,1002.1680415338938
173,154,4,200.0,25,904,5,1002.1680415338938
174,153,4,200.0,25,904,5,1002.1680415338938
175,152,4,200.0,25,904,5,1002.1680415338938
176,150,4,200.0,25,904,5,1002.1680415338938
177,151,4,200.0,25,904,5,1002.1680415338938
178,152,4,200.0,25,904,5,1002.1680415338938
179,165,4,200.0,25,904,5,1002.1680415338938
180,157,4,200.0,25,904,5,1002.1680415338938
181,167,4,200.0,25,904,5,1002.1680415338938
182,157,4,200.0,25,904,5,1002.1680415338938
183,160,4,200.0,25,904,5,1002.1680415338938
184,160,4,200.0,25,904,5,1002.1680415338938
185,154,4,200.0,25,904,5,1002.1680415338938
186,168,4,200.0,25,904,5,1002.1680415338938
187,166,4,200.0,25,904,5,1002.1680415338938
188,157,4,200.0,25,904,5,1002.1680415338938
189,163,4,200.0,25,904,5,1002.1680415338938
190,152,4,200.0,25,904,5,1002.1680415338938
191,166,4,200.0,25,904,5,1002.1680415338938
192,163,4,200.0,25,904,5,1002.1680415338938
193,165,4,200.0,25,904,5,1002.1680415338938
194,159,4,200.0,25,904,5,1002.1680415338938
195,162,4,200.0,25,904,5,1002.1680415338938
196,153,4,200.0,25,904,5,1002.1680415338938
197,165,4,200.0,25,904,5,1002.1680415338938
198,162,4,200.0,25,904,5,1002.1680415338938
199,162,4,200.0,25,904,5,1002.1680415338938
200,156,4,200.0,25,904,5,1002.1680415338938
201,169,4,200.0,25,904,5,1002.1680415338938
202,161,4,200.0,25,904,5,1002.1680415338938
203,159,4,200.0,25,904,5,1002.1680415338938
204,151,4,200.0,25,904,5,1002.1680415338938
205,169,4,200.0,25,904,5,1002.1680415338938
206,165,4,200.0,25,904,5,1002.1680415338938
207,165,4,200.0,25,904,5,1002.1680415338938
208,152,4,200.0,25,904,5,1002.1680415338938
209,160,4,200.0,25,904,5,1002.1680415338938
210,164,4,200.0,25,904,5,1002.1680415338938
211,151,4,200.0,25,904,5,1002.1680415338938
212,169,4,200.0,25,904,5,1002.1680415338938
213,166,4,200.0,25,904,5,1002.1680415338938
214,160,4,200.0,25,904,5,1002.1680415338938
215,158,4,200.0,25,904,5,1002.1680415338938
216,168,4,200.0,25,904,5,1002.1680415338938
217,160,4,200.0,25,904,5,1002.1680415338938
218,168,4,200.0,25,904,5,1002.1680415338938
219,169,4,200.0,25,904,5,1002.1680415338938
220,152,4,200.0,25,904,5,1002.1680415338938
221,151,4,200.0,25,904,5,1002.1680415338938
222,164,4,200.0,25,904,5,1002.1680415338938
223,159,4,200.0,25,904,5,1002.1680415338938
224,151,4,200.0,25,904,5,1002.1680415338938
225,159,4,200.0,25,904,5,1002.1680415338938
226,160,4,200.0,25,904,5,1002.1680415338938
227,164,4,200.0,25,904,5,1002.1680415338938
228,159,4,200.0,25,904,5,1002.1680415338938
229,158,4,200.0,25,904,5,1002.1680415338938
230,167,4,200.0,25,904,5,1002.1680415338938
231,163,4,200.0,25,904,5,1002.1680415338938
232,150,4,200.0,25,904,5,1002.1680415338938
233,163,4,200.0,25,904,5,1002.1680415338938
234,156,4,200.0,25,904,5,1002.1680415338938
235,150,4,200.0,25,904,5,1002.1680415338938
236,167,4,200.0,25,904,5,1002.1680415338938
237,165,4,200.0,25,904,5,1002.1680415338938
238,163,4,200.0,25,904,5,1002.1680415338938
239,165,4,200.0,25,904,5,1002.1680415338938
240,159,4,200.0,25,904,5,1002.1680415338938
241,164,4,200.0,25,904,5,1002.1680415338938
242,159,4,200.0,25,904,5,1002.1680415338938
243,165,4,200.0,25,904,5,1002.1680415338938
244,166,4,200.0,25,904,5,1002.1680415338938
245,163,4,200.0,25,904,5,1002.1680415338938
246,158,4,200.0,25,904,5,1002.1680415338938
247,157,4,200.0,25,904,5,1002.1680415338938
248,160,4,200.0,25,904,5,1002.1680415338938
249,156,4,200.0,25,904,5,1002.1680415338938
250,165,4,200.0,25,904,5,1002.1680415338938
251,163,4,200.0,25,904,5,1002.1680415338938
252,168,4,200.0,25,904,5,1002.1680415338938
253,151,4,200.0,25,904,5,1002.1680415338938
254,166,4,200.0,25,904,5,1002.1680415338938
255,167,4,200.0,25,904,5,1002.1680415338938
256,153,4,200.0,25,904,5,1002.1680415338938
257,151,4,200.0,25,904,5,1002.1680415338938
258,167,4,200.0,25,904,5,1002.1680415338938
259,163,4,200.0,25,904,5,1002.1680415338938
260,169,4,200.0,25,904,5,1002.1680415338938
261,159,4,200.0,25,904,5,1002.1680415338938
262,160,4,200.0,25,904,5,1002.1680415338938
263,167,4,200.0,25,904,5,1002.1680415338938
264,158,4,200.0,25,904,5,1002.1680415338938
265,167,4,200.0,25,904,5,1002.1680415338938
266,153,4,200.0,25,904,5,1002.1680415338938
267,163,4,200.0,25,904,5,1002.1680415338938
268,165,4,200.0,25,904,5,1002.1680415338938
269,155,4,200.0,25,904,5,1002.1680415338938
270,154,4,200.0,25,904,5,1002.1680415338938
271,151,4,200.0,25,904,5,1002.1680415338938
272,170,4,200.0,25,904,5,1002.1680415338938
273,157,4,200.0,25,904,5,1002.1680415338938
274,166,4,200.0,25,904,5,1002.1680415338938
275,164,4,200.0,25,904,5,1002.1680415338938
276,169,4,200.0,25,904,5,1002.1680415338938
277,168,4,200.0,25,904,5,1002.1680415338938
278,169,4,200.0,25,904,5,1002.1680415338938
279,157,4,200.0,25,904,5,1002.1680415338938
280,170,4,200.0,25,904,5,1002.1680415338938
281,156,4,200.0,25,904,5,1002.1680415338938
282,165,4,200.0,25,904,5,1002.1680415338938
283,155,4,200.0,25,904,5,1002.1680415338938
284,162,4,200.0,25,904,5,1002.1680415338938
285,162,4,200.0,25,904,5,1002.1680415338938
286,162,4,200.0,25,904,5,1002.1680415338938
287,150,4,200.0,25,904,5,1002.1680415338938
288,163,4,200.0,25,904,5,1002.1680415338938
289,157,4,200.0,25,904,5,1002.1680415338938
290,155,4,200.0,25,904,5,1002.1680415338938
291,166,4,200.0,25,904,5,1002.1680415338938
292,170,4,200.0,25,904,5,1002.1680415338938
293,169,4,200.0,25,904,5,1002.1680415338938
294,154,4,200.0,25,904,5,1002.1680415338938
295,151,4,200.0,25,904,5,1002.1680415338938
296,153,4,200.0,25,904,5,1002.1680415338938
297,160,4,200.0,25,904,5,1002.1680415338938
298,157,4,200.0,25,904,5,1002.1680415338938
299,161,4,200.0,25,904,5,1002.1680415338938
300,152,4,200.0,25,904,5,1002.1680415338938
301,153,4,200.0,25,904,5,1002.1680415338938
302,168,4,200.0,25,904,5,1002.1680415338938
303,159,4,200.0,25,904,5,1002.1680415338938
304,169,4,200.0,25,904,5,1002.1680415338938
305,151,4,200.0,25,904,5,1002.1680415338938
306,165,4,200.0,25,904,5,1002.1680415338938
307,158,4,200.0,25,904,5,1002.1680415338938
308,166,4,200.0,25,904,5,1002.1680415338938
309,166,4,200.0,25,904,5,1002.1680415338938
310,150,4,200.0,25,904,5,1002.1680415338938
311,167,4,200.0,25,904,5,1002.1680415338938
312,163,4,200.0,25,904,5,1002.1680415338938
313,151,4,200.0,25,904,5,1002.1680415338938
314,156,4,200.0,25,904,5,1002.1680415338938
315,151,4,200.0,25,904,5,1002.1680415338938
316,152,4,200.0,25,904,5,1002.1680415338938
317,153,4,200.0,25,904,5,1002.1680415338938
318,168,4,200.0,25,904,5,1002.1680415338938
319,161,4,200.0,25,904,5,1002.1680415338938
320,165,4,200.0,25,904,5,1002.1680415338938
321,163,4,200.0,25,904,5,1002.1680415338938
322,163,4,200.0,25,904,5,1002.1680415338938
323,150,4,200.0,25,904,5,1002.1680415338938
324,152,4,200.0,25,904,5,1002.1680415338938
325,166,4,200.0,25,904,5,1002.1680415338938
326,156,4,200.0,25,904,5,1002.1680415338938
327,161,4,200.0,25,904,5,1002.1680415338938
328,153,4,200.0,25,904,5,1002.1680415338938
329,167,4,200.0,25,904,5,1002.1680415338938
330,153,4,200.0,25,904,5,1002.1680415338938
331,151,4,200.0,25,904,5,1002.1680415338938
332,151,4,200.0,25,904,5,1002.1680415338938
333,169,4,200.0,25,904,5,1002.1680415338938
334,158,4,200.0,25,904,5,1002.1680415338938
335,155,4,200.0,25,904,5,1002.1680415338938
336,156,4,200.0,25,904,5,1002.1680415338938
337,161,4,200.0,25,904,5,1002.1680415338938
338,151,4,200.0,25,904,5,1002.1680415338938
339,170,4,200.0,25,904,5,1002.1680415338938
340,150,4,200.0,25,904,5,1002.1680415338938
341,170,4,200.0,25,904,5,1002.1680415338938
342,156,4,200.0,25,904,5,1002.1680415338938
343,158,4,200.0,25,904,5,1002.1680415338938
344,158,4,200.0,25,904,5,1002.1680415338938
345,152,4,200.0,25,904,5,1002.1680415338938
346,151,4,200.0,25,904,5,1002.1680415338938
347,170,4,200.0,25,904,5,1002.1680415338938
348,168,4,200.0,25,904,5,1002.1680415338938
349,157,4,200.0,25,904,5,1002.1680415338938
350,154,4,200.0,25,904,5,1002.1680415338938
351,150,4,200.0,25,904,5,1002.1680415338938
352,158,4,200.0,25,904,5,1002.1680415338938
353,160,4,200.0,25,904,5,1002.1680415338938
354,161,4,200.0,25,904,5,1002.1680415338938
355,150,4,200.0,25,904,5,1002.1680415338938
356,159,4,200.0,25,904,5,1002.1680415338938
357,159,4,200.0,25,904,5,1002.1680415338938
358,164,4,200.0,25,904,5,1002.1680415338938
359,155,4,200.0,25,904,5,1002.1680415338938
360,151,4,200.0,25,904,5,1002.1680415338938
361,165,4,200.0,25,904,5,1002.1680415338938
362,154,4,200.0,25,904,5,1002.1680415338938
363,161,4,200.0,25,904,5,1002.1680415338938
364,150,4,200.0,25,904,5,1002.1680415338938
365,163,4,200.0,25,904,5,1002.1680415338938
366,150,4,200.0,25,904,5,1002.1680415338938
367,158,4,200.0,25,904,5,1002.1680415338938
368,151,4,200.0,25,904,5,1002.1680415338938
369,152,4,200.0,25,904,5,1002.1680415338938
370,152,4,200.0,25,904,5,1002.1680415338938
371,167,4,200.0,25,904,5,1002.1680415338938
372,157,4,200.0,25,904,5,1002.1680415338938
373,164,4,200.0,25,904,5,1002.1680415338938
374,163,4,200.0,25,904,5,1002.1680415338938
375,152,4,200.0,25,904,5,1002.1680415338938
376,167,4,200.0,25,904,5,1002.1680415338938
377,162,4,200.0,25,904,5,1002.1680415338938
378,161,4,200.0,25,904,5,1002.1680415338938
379,164,4,200.0,25,904,5,1002.1680415338938
380,170,4,200.0,25,904,5,1002.1680415338938
381,151,4,200.0,25,904,5,1002.1680415338938
382,158,4,200.0,25,904,5,1002.1680415338938
383,162,4,200.0,25,904,5,1002.1680415338938
384,165,4,200.0,25,904,5,1002.1680415338938
385,155,4,200.0,25,904,5,1002.1680415338938
386,159,4,200.0,25,904,5,1002.1680415338938
387,157,4,200.0,25,904,5,1002.1680415338938
388,170,4,200.0,25,904,5,1002.1680415338938
389,168,4,200.0,25,904,5,1002.1680415338938
390,151,4,200.0,25,904,5,1002.1680415338938
391,152,4,200.0,25,904,5,1002.1680415338938
392,159,4,200.0,25,904,5,1002.1680415338938
393,169,4,200.0,25,904,5,1002.1680415338938
394,168,4,200.0,25,904,5,1002.1680415338938
395,154,4,200.0,25,904,5,1002.1680415338938
396,151,4,200.0,25,904,5,1002.1680415338938
397,163,4,200.0,25,904,5,1002.1680415338938
398,160,4,200.0,25,904,5,1002.1680415338938
399,161,4,200.0,25,904,5,1002.1680415338938
400,167,4,200.0,25,904,5,1002.1680415338938
401,164,4,200.0,25,904,5,1002.1680415338938
402,166,4,200.0,25,904,5,1002.1680415338938
403,164,4,200.0,25,904,5,1002.1680415338938
404,170,4,200.0,25,904,5,1002.1680415338938
405,166,4,200.0,25,904,5,1002.1680415338938
406,167,4,200.0,25,904,5,1002.1680415338938
407,168,4,200.0,25,904,5,1002.1680415338938
408,159,4,200.0,25,904,5,1002.1680415338938
409,151,4,200.0,25,904,5,1002.1680415338938
410,153,4,200.0,25,904,5,1002.1680415338938
411,159,4,200.0,25,904,5,1002.1680415338938
412,163,4,200.0,25,904,5,1002.1680415338938
413,154,4,200.0,25,904,5,1002.1680415338938
414,167,4,200.0,25,904,5,1002.1680415338938
415,168,4,200.0,25,904,5,1002.1680415338938
416,167,4,200.0,25,904,5,1002.1680415338938
417,169,4,200.0,25,904,5,1002.1680415338938
418,166,4,200.0,25,904,5,1002.1680415338938
419,161,4,200.0,25,904,5,1002.1680415338938
420,170,4,200.0,25,904,5,1002.1680415338938
421,167,4,200.0,25,904,5,1002.1680415338938
422,158,4,200.0,25,904,5,1002.1680415338938
423,156,4,200.0,25,904,5,1002.1680415338938
424,157,4,200.0,25,904,5,1002.1680415338938
425,160,4,200.0,25,904,5,1002.1680415338938
426,168,4,200.0,25,904,5,1002.1680415338938
427,152,4,200.0,25,904,5,1002.1680415338938
428,159,4,200.0,25,904,5,1002.1680415338938
429,169,4,200.0,25,904,5,1002.1680415338938
430,154,4,200.0,25,904,5,1002.1680415338938
431,159,4,200.0,25,904,5,1002.1680415338938
432,150,4,200.0,25,904,5,1002.1680415338938
433,150,4,200.0,25,904,5,1002.1680415338938
434,161,4,200.0,25,904,5,1002.1680415338938
435,152,4,200.0,25,904,5,1002.1680415338938
436,154,4,200.0,25,904,5,1002.1680415338938
437,166,4,200.0,25,904,5,1002.1680415338938
438,157,4,200.0,25,904,5,1002.1680415338938
439,157,4,200.0,25,904,5,1002.1680415338938
440,166,4,200.0,25,904,5,1002.1680415338938
441,162,4,200.0,25,904,5,1002.1680415338938
442,165,4,200.0,25,904,5,1002.1680415338938
443,154,4,200.0,25,904,5,1002.1680415338938
444,162,4,200.0,25,904,5,1002.1680415338938
445,167,4,200.0,25,904,5,1002.1680415338938
446,155,4,200.0,25,904,5,1002.1680415338938
447,165,4,200.0,25,904,5,1002.1680415338938
448,151,4,200.0,25,904,5,1002.1680415338938
449,158,4,200.0,25,904,5,1002.1680415338938
450,160,4,200.0,25,904,5,1002.1680415338938
451,170,4,200.0,25,904,5,1002.1680415338938
452,169,4,200.0,25,904,5,1002.1680415338938
453,155,4,200.0,25,904,5,1002.1680415338938
454,150,4,200.0,25,904,5,1002.1680415338938
455,160,4,200.0,25,904,5,1002.1680415338938
456,154,4,200.0,25,904,5,1002.1680415338938
457,160,4,200.0,25,904,5,1002.1680415338938
458,169,4,200.0,25,904,5,1002.1680415338938
459,157,4,200.0,25,904,5,1002.1680415338938
460,153,4,200.0,25,904,5,1002.1680415338938
461,152,4,200.0,25,904,5,1002.1680415338938
462,152,4,200.0,25,904,5,1002.1680415338938
463,163,4,200.0,25,904,5,1002.1680415338938
464,158,4,200.0,25,904,5,1002.1680415338938
465,152,4,200.0,25,904,5,1002.1680415338938
466,158,4,200.0,25,904,5,1002.1680415338938
467,163,4,200.0,25,904,5,1002.1680415338938
468,166,4,200.0,25,904,5,1002.1680415338938
469,159,4,200.0,25,904,5,1002.1680415338938
470,165,4,200.0,25,904,5,1002.1680415338938
471,164,4,200.0,25,904,5,1002.1680415338938
472,155,4,200.0,25,904,5,1002.1680415338938
473,157,4,200.0,25,904,5,1002.1680415338938
474,160,4,200.0,25,904,5,1002.1680415338938
475,156,4,200.0,25,904,5,1002.1680415338938
476,167,4,200.0,25,904,5,1002.1680415338938
477,158,4,200.0,25,904,5,1002.1680415338938
478,169,4,200.0,25,904,5,1002.1680415338938
479,158,4,200.0,25,904,5,1002.1680415338938
480,168,4,200.0,25,904,5,1002.1680415338938
481,165,4,200.0,25,904,5,1002.1680415338938
482,161,4,200.0,25,904,5,1002.1680415338938
483,159,4,200.0,25,904,5,1002.1680415338938
484,152,4,200.0,25,904,5,1002.1680415338938
485,162,4,200.0,25,904,5,1002.1680415338938
486,155,4,200.0,25,904,5,1002.1680415338938
487,166,4,200.0,25,904,5,1002.1680415338938
488,169,4,200.0,25,904,5,1002.1680415338938
489,169,4,200.0,25,904,5,1002.1680415338938
490,164,4,200.0,25,904,5,1002.1680415338938
491,151,4,200.0,25,904,5,1002.1680415338938
492,165,4,200.0,25,904,5,1002.1680415338938
493,151,4,200.0,25,904,5,1002.1680415338938
494,164,4,200.0,25,904,5,1002.1680415338938
495,150,4,200.0,25,904,5,1002.1680415338938
496,158,4,200.0,25,904,5,1002.1680415338938
497,161,4,200.0,25,904,5,1002.1680415338938
498,158,4,200.0,25,904,5,1002.1680415338938
499,156,4,200.0,25,904,5,1002.1680415338938
500,156,4,200.0,25,904,5,1002.1680415338938
501,170,4,200.0,25,904,5,1002.1680415338938
502,159,4,200.0,25,904,5,1002.1680415338938
503,165,4,200.0,25,904,5,1002.1680415338938
504,164,4,200.0,25,904,5,1002.1680415338938
505,153,4,200.0,25,904,5,1002.1680415338938
506,169,4,200.0,25,904,5,1002.1680415338938
507,167,4,200.0,25,904,5,1002.1680415338938
508,159,4,200.0,25,904,5,1002.1680415338938
509,154,4,200.0,25,904,5,1002.1680415338938
510,168,4,200.0,25,904,5,1002.1680415338938
511,161,4,200.0,25,904,5,1002.1680415338938
512,167,4,200.0,25,904,5,1002.1680415338938
513,169,4,200.0,25,904,5,1002.1680415338938
514,157,4,200.0,25,904,5,1002.1680415338938
515,161,4,200.0,25,904,5,1002.1680415338938
516,158,4,200.0,25,904,5,1002.1680415338938
517,159,4,200.0,25,904,5,1002.1680415338938
518,165,4,200.0,25,904,5,1002.1680415338938
519,161,4,200.0,25,904,5,1002.1680415338938
520,162,4,200.0,25,904,5,1002.1680415338938
521,164,4,200.0,25,904,5,1002.1680415338938
522,158,4,200.0,25,904,5,1002.1680415338938
523,153,4,200.0,25,904,5,1002.1680415338938
524,150,4,200.0,25,904,5,1002.1680415338938
525,162,4,200.0,25,904,5,1002.1680415338938
526,150,4,200.0,25,904,5,1002.1680415338938
527,156,4,200.0,25,904,5,1002.1680415338938
528,169,4,200.0,25,904,5,1002.1680415338938
529,169,4,200.0,25,904,5,1002.1680415338938
530,157,4,200.0,25,904,5,1002.1680415338938
531,162,4,200.0,25,904,5,1002.1680415338938
532,159,4,200.0,25,904,5,1002.1680415338938
533,154,4,200.0,25,904,5,1002.1680415338938
534,152,4,200.0,25,904,5,1002.1680415338938
535,166,4,200.0,25,904,5,1002.1680415338938
536,153,4,200.0,25,904,5,1002.1680415338938
537,162,4,200.0,25,904,5,1002.1680415338938
538,161,4,200.0,25,904,5,1002.1680415338938
539,165,4,200.0,25,904,5,1002.1680415338938
540,158,4,200.0,25,904,5,1002.1680415338938
541,162,4,200.0,25,904,5,1002.1680415338938
542,160,4,200.0,25,904,5,1002.1680415338938
543,164,4,200.0,25,904,5,1002.1680415338938
544,169,4,200.0,25,904,5,1002.1680415338938
545,154,4,200.0,25,904,5,1002.1680415338938
546,152,4,200.0,25,904,5,1002.1680415338938
547,159,4,200.0,25,904,5,1002.1680415338938
548,162,4,200.0,25,904,5,1002.1680415338938
549,150,4,200.0,25,904,5,1002.1680415338938
550,155,4,200.0,25,904,5,1002.1680415338938
551,152,4,200.0,25,904,5,1002.1680415338938
552,150,4,200.0,25,904,5,1002.1680415338938
553,162,4,200.0,25,904,5,1002.1680415338938
554,168,4,200.0,25,904,5,1002.1680415338938
555,156,4,200.0,25,904,5,1002.1680415338938
556,161,4,200.0,25,904,5,1002.1680415338938
